type,code,message,context,selector
Error,WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1,Iframe element requires a non-empty title attribute that identifies the frame.,"\u003Ciframe class=\""video-highlight-iframe -full-width lazyload\"" aria-label=\""This link will trigger a modal containing a video about the Buffalo Promise Neighborhood partnership\"" allowfullscreen=\""\"" webkitallowfullscreen=\""\"" mozallowfullscreen=\""\"" frameborder=\""0\"" itemprop=\""video\"" itemtype=\""http://schema.org/VideoObject\"" data-src=\""https://cdnapisec.kaltura.com/p/1971712/sp/197171200/embedIframeJs/uiconf_id/33145471/partner_id/1971712?iframeembed=true&amp;playerId=kaltura_player_1600183629&amp;entry_id=1_epmeus8j&amp;flashvars[thumbnailUrl]=\"">...\u003C/iframe>""",iframe
Error,WCAG2AA.Principle2.Guideline2_4.2_4_1.G1-G123-G124.NoSuchID,"This link points to a named anchor \""search-modal\"" within the document- but no anchor exists with that name.","\u003Ca href=\""#search-modal\"" class=\""footer-search\"" aria-label=\""Search- use escape key to exit modal window.\"" aria-haspopup=\""true\"" role=\""button\"">...\u003C/a>""",a
Error,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name,This button element does not have a name available to an accessibility API. Valid names are: title - element content- aria-label - aria-labelledby .,"\u003Cbutton class=\""modal-close\"">...\u003C/button>""",button
Warning,WCAG2AA.Principle1.Guideline1_4.1_4_10.C32-C31-C33-C38-SCR34-G206,"This element has \""position: fixed\"". This may require scrolling in two dimensions- which is considered a failure of this Success Criterion.","\u003Cdiv class=\""modal-container\"">...\u003C/div>""",div
Warning,WCAG2AA.Principle2.Guideline2_5.2_5_3.F96,Accessible name for this element does not contain the visible label text. Check that for user interface components with labels that include text or images of text- the name contains the text that is presented visually.,"\u003Cbutton class=\""option -active\"" data-option=\""user\"" aria-label=\""Personal and Business Login Tab\"" aria-selected=\""true\"" aria-pressed=\""true\"">...\u003C/button>""",button
Warning,WCAG2AA.Principle2.Guideline2_5.2_5_3.F96,Accessible name for this element does not contain the visible label text. Check that for user interface components with labels that include text or images of text- the name contains the text that is presented visually.,"\u003Cbutton class=\""option -active\"" data-option=\""user\"" aria-label=\""Personal and Business Login Tab\"" aria-selected=\""true\"" aria-pressed=\""true\"">...\u003C/button>""",button
Error,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.EmptyNoId,Anchor element found with no link content and no name and/or ID attribute.,"\u003Ca class=\""dropdown-menu-link -close\"">...\u003C/a>""",a
Error,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.EmptyNoId,Anchor element found with no link content and no name and/or ID attribute.,"\u003Ca class=\""dropdown-menu-link -close\"">...\u003C/a>""",a
Warning,WCAG2AA.Principle1.Guideline1_4.1_4_10.C32-C31-C33-C38-SCR34-G206,"This element has \""position: fixed\"". This may require scrolling in two dimensions- which is considered a failure of this Success Criterion.","\u003Cdiv class=\""landing-logo-link\"">...\u003C/div>""",div
Warning,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.Placeholder,Anchor element found with link content- but no href- ID or name attribute has been supplied.,"\u003Ca class=\""cta-button-link\"" data-id=\""253304388\"" data-comp-type=\""speedbump-cta-button\"">...\u003C/a>""",a
Warning,WCAG2AA.Principle1.Guideline1_1.1_1_1.H67.2,Img element is marked so that it is ignored by Assistive Technology.,"\u003Cimg style=\""width:0px; height:0px; display:none; visibility:hidden;\"" id=\""batBeacon661405028163\"" width=\""0\"" height=\""0\"" alt=\""\"" src=\""https://bat.bing.com/action/0?ti=5564484&amp;Ver=2&amp;mid=1153e722-9acb-48b5-8b64-ecb8982a756d&amp;sid=90964e7077a311eb866bef11e906455b&amp;vid=9096718077a311eba80b1d43fb428349&amp;vids=0&amp;pi=1200101525&amp;lg=en-US&amp;sw=1920&amp;sh=1080&amp;sc=24&amp;tl=M%26T%20Bank%20-%20Personal%20%26%20Business%20Banking-%20Mortgages-%20%26%20More%20%7C%20M%26T%20Bank&amp;p=https%3A%2F%2Fwww3.mtb.com%2Fpersonal&amp;r=https%3A%2F%2Fwww3.mtb.com%2F&amp;lt=165&amp;evt=pageLoad&amp;msclkid=N&amp;sv=1&amp;rn=807295\"">""",img
Error,WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1,Iframe element requires a non-empty title attribute that identifies the frame.,"\u003Ciframe src=\""https://bid.g.doubleclick.net/xbbe/pixel?d=KAE\"" style=\""display: none;\"">...\u003C/iframe>""",iframe
Warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 3:1.,"\u003Clabel class=\""search-label\"" for=\""help-input\"" aria-hidden=\""true\"">...\u003C/label>""",label
Error,WCAG2AA.Principle1.Guideline1_3.1_3_1.F92-ARIA4,"This element's role is \""presentation\"" but contains child elements with semantic meaning.","\u003Csvg class=\""header-icon -icon-lock\"" role=\""presentation\"">...\u003C/svg>""",svg
